Timestamp,What is your first name?,What is your last name?,With which gender do you identify?,Which project would you most like to work on? [Top choice],Which project would you most like to work on? [Choice 2],Which project would you most like to work on? [Choice 3],Which role do you MOST want to take on in the project?,What is your SECOND CHOICE role?,"For which of the following roles have you had some experience? (You don't have to be an expert, but you could hit the ground running.)",What grade did you receive on the cinematography quiz?,In which section are you enrolled?
2021/09/10 11:15:00AM EST,Dylan,Lee,he - him,The Quiet Applause,Where's Henry?,,Editor,Sound Designer,Cinematographer,55.9,Section 3
2021/09/10 11:15:00AM EST,Linda,Kim,she - her,Calculating Home,,,Producer,Cinematographer,Producer,92.5,Section 4
2021/09/10 11:15:00AM EST,Jordan,Nguyen,they - them,The Pom Pom Club,,,Producer,Actor,Producer,67.6,Section 2
2021/09/10 11:15:00AM EST,Dylan,Cook,she - her,Anastasia,The Quiet Applause,,Director,Producer,Producer,67.7,Section 3
2021/09/10 11:15:00AM EST,Madison,Hernandez,she - her,Static and Sunlight,Two Left Shoes,Calculating Home,Director,Actor,Cinematographer,60.7,Section 3
2021/09/10 11:15:00AM EST,Timothy,Carter,she - her,The Last Umbrella,Anastasia,,Director,Producer,Actor,92.3,Section 4
2021/09/10 11:15:00AM EST,Ashley,Cox,she - her,Five Under Seven,The Last Umbrella,,Producer,Sound Designer,Editor,92.9,Section 1
2021/09/10 11:15:00AM EST,Ann,Lewis,he - him,Anastasia,,,Cinematographer,Sound Designer,Producer,41.5,Section 2
2021/09/10 11:15:00AM EST,Catherine,Castillo,she - her,Calculating Home,,,Director,Producer,Producer,49.1,Section 2
2021/09/10 11:15:00AM EST,Arthur,Green,she - her,Anastasia,Midnight in Ohio,,Editor,Sound Designer,Producer,93.5,Section 2
2021/09/10 11:15:00AM EST,Jordan,Wilson,she - her,The Last Umbrella,Midnight in Ohio,,Director,Cinematographer,Director,50.8,Section 4
2021/09/10 11:15:00AM EST,Louis,Perez,she - her,The Last Umbrella,Two Left Shoes,,Cinematographer,Sound Designer,Editor,83.1,Section 1
2021/09/10 11:15:00AM EST,Maria,Rivera,they - them,Two Left Shoes,,,Actor,Sound Designer,Editor,84.5,Section 2
2021/09/10 11:15:00AM EST,Amber,Wilson,he - him,Where's Henry?,The Pom Pom Club,,Sound Designer,Director,Actor,76.6,Section 3
2021/09/10 11:15:00AM EST,Aaron,Carter,he - him,The Last Umbrella,Static and Sunlight,,Producer,Director,Producer,44.9,Section 3
